expo,table,project,sponsors,link,category,special
1,1,UNessie,,http://hackru-s16.devpost.com/submissions/52647-unessie,,
1,2,FallingBalls,"#HackHarassment Innovation, Best Developer Tool from Github, Best Solo Hack, Best First Hackathon Project, Best Rutgers Hack, Funniest Hack",http://hackru-s16.devpost.com/submissions/52678-fallingballs,,
1,3,TrackRunnr,"Best Use of AWS, Best First Hackathon Project, Best Use of MongoDB , Best Domain Name from Domain.com",http://hackru-s16.devpost.com/submissions/52695-trackrunnr,,
1,4,snackr,"Best Use of MongoDB , Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52750-snackr,,
1,5,sopMVC,"Best Use of AWS, Best Developer Tool from Github",http://hackru-s16.devpost.com/submissions/52751-sopmvc,,
1,6,Mapped Capital,Best Use of Capital One API,http://hackru-s16.devpost.com/submissions/52754-mapped-capital,,
1,7,Carb Count,"Best Use of MongoDB , Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52755-carb-count,,
1,8,AR Wizard Duel,Best Solo Hack,http://hackru-s16.devpost.com/submissions/52758-ar-wizard-duel,,
1,9,SynchroTabs,,http://hackru-s16.devpost.com/submissions/52759-synchrotabs,,
1,10,Dictate,"Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52760-dictate,,
1,11,Theia,"Best Hardware Hack, Best Educational Hack from DonorsChoose.org, Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52761-theia,,
1,12,Smart Money,"Best First Hackathon Project, Best Use of Capital One API",http://hackru-s16.devpost.com/submissions/52762-smart-money,,
1,13,Mirror Mirror,"The Most Innovative Embedded Application from L-3 Communications, Best Hardware Hack, Verizon Sponsorship Prize, IoT Princeton Presentation from New Brunswick Office of Innovation",http://hackru-s16.devpost.com/submissions/52763-mirror-mirror,,
1,14,Sustenance Supervisor,"Best Solo Hack, Best First Hackathon Project, Best Educational Hack from DonorsChoose.org, Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52764-sustenance-supervisor,,
1,15,SBUCourseBot,,http://hackru-s16.devpost.com/submissions/52765-sbucoursebot,,
1,16,2Cents,"Best First Hackathon Project, Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52766-2cents,,
1,17,BeerMe,,http://hackru-s16.devpost.com/submissions/52768-beerme,,
1,18,ClariBuy,"Best Use of Twilio API, Best First Hackathon Project, Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52769-claribuy,,
1,19,FireFighter Simulation,"Best Use of AWS, Best Hardware Hack, Best First Hackathon Project, Best Use of MongoDB , Best Educational Hack from DonorsChoose.org, Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52771-firefighter-simulation,,
1,20,Synesthesia,,http://hackru-s16.devpost.com/submissions/52773-synesthesia,,
1,21,The Patient Medical Assistant,"Best Solo Hack, Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52774-the-patient-medical-assistant,,
1,22,Verideals,"Best Use of AWS, Verizon Sponsorship Prize",http://hackru-s16.devpost.com/submissions/52775-verideals,,
1,23,Tetris Holographic 3D Projection Game,"Best Hardware Hack, Best First Hackathon Project, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52776-tetris-holographic-3d-projection-game,,
1,24,Clippy2.0,"Best Solo Hack, Best First Hackathon Project, Funniest Hack",http://hackru-s16.devpost.com/submissions/52777-clippy2-0,,
1,25,RU Broke,"Best Command Line Hack, Best Use of Capital One API, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52779-ru-broke,,
1,26,Pic our Project,"Best Hardware Hack, Best First Hackathon Project, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52780-pic-our-project,,
1,27,HackRU Test,,http://hackru-s16.devpost.com/submissions/52781-hackru-test,,
1,28,ReginaG,"#HackHarassment Innovation, Best Use of the Watson Cognitive APIs from IBM, Best Use of AWS, Best Use of Twilio API, Best Educational Hack from DonorsChoose.org, Funniest Hack",http://hackru-s16.devpost.com/submissions/52782-reginag,,
1,29,CasualRifting,"Best Solo Hack, Best Hardware Hack, Verizon Sponsorship Prize",http://hackru-s16.devpost.com/submissions/52783-casualrifting,,
